id,name,cleaned
3d1cd9ee50a5a946331cbe4345963036d196b40d306dad18335f60c70c344850,amd ryzen 7 5700g wraith stealth (3.8 ghz / 4.6 ghz) tray,amd ryzen 7 5700g wraith stealth
d1b4a9e068ecf59d00a821fcaaec50d003a1e2428c23dea3d62a47477c642dd0,amd ryzen 7 5700x (3.4 ghz / 4.6 ghz) box,amd ryzen 7 5700x
655721ce0a08b2988473aac7532e122a0ca06dfaa1a003a990f5b5330ceaa266,amd ryzen 7 5700x (3.4 ghz / 4.6 ghz) box,amd ryzen 7 5700x
9c5dd8e709bc28511cb177afc67447507081a486e309d8cf62282f33027301ac,amd ryzen 7 5700x (3.4 ghz / 4.6 ghz) tray,amd ryzen 7 5700x
4b4359dcd239b5b0d3c8a6acfce416d376191020401fbe23fb1d5fd0f034783a,amd ryzen 7 5700x (3.4 ghz / 4.6 ghz) tray,amd ryzen 7 5700x
a88b06ce1be108f7feffcf677345a1f9bf34e6744f8fa262cc5b6cd9ec36bfee,amd ryzen 7 5700x3d (3.0 ghz / 4.1 ghz) tray,amd ryzen 7 5700x3d
253136d7d4367138eb3de66755f472bcbb449582421954494d5995366e3b95b8,amd ryzen 7 5800x (3.8 ghz / 4.7 ghz),amd ryzen 7 5800x
d254a29a99d5bce888306e36f0bad77f2ba59fcdfdf5d6b84f4008418bff436f,amd ryzen 7 5800x (3.8 ghz / 4.7 ghz) box,amd ryzen 7 5800x
c37111573ff3676cf1a68ec1a036b24b602aafb297136a6214c127839a3a6395,amd ryzen 7 5800x (3.8 ghz / 4.7 ghz) box,amd ryzen 7 5800x
bf15d5f0d13e4c0c3ef23395ac64a989315c4fbbb61bc3d23bacc1775e27c533,amd ryzen 7 5800xt wraith prism (3.8 ghz / 4.8 ghz) box,amd ryzen 7 5800xt wraith prism
32ce921c8a080e498557bf5e2774bd31d284f6e750d0b446d0bfb96b3ea57fd1,amd ryzen 7 5800xt wraith prism (3.8 ghz / 4.8 ghz) box,amd ryzen 7 5800xt wraith prism
a39882774a8f40bde2b44d30963335fe933c8e24bd85ebd3ddad2b347313c40e,amd ryzen 7 7700 (3.8 ghz / 5.3 ghz) tray,amd ryzen 7 7700
8345874991370f82945b7e1a8046b4b5fe21b91dcbd95ee27a7643d6460f80ff,amd ryzen 7 7700x (4.5 ghz / 5.4 ghz),amd ryzen 7 7700x
161783ca47dc7c754dbdeb6b41d752ccb659c43e66e008b1053eecee703ab278,amd ryzen 7 7700x (4.5 ghz / 5.4 ghz),amd ryzen 7 7700x
8f67f8719a52d264e65dc46e449e866df823ba2913f79acd9beae0bd4715ab4e,amd ryzen 7 7700x (4.5 ghz / 5.4 ghz) tray,amd ryzen 7 7700x
f7f9983ea47f2b6658102d816c4f79794adc65df31f0feb10473fc5a90d79d80,amd ryzen 7 7800x3d (4.2 ghz / 5.0 ghz) tray,amd ryzen 7 7800x3d
